Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
101,KA0CUU,,-,146.35500,Tone,100.0,88.5,023,NN,FM,5,"Arcadia",
102,KA0RFO,,-,146.35500,Tone,192.8,88.5,023,NN,FM,5,"Laurie",
103,KB0RPJ,,-,146.35500,Tone,156.7,88.5,023,NN,FM,5,"Trenton, Courthouse",
104,W0WJB,,-,146.37000,,88.5,88.5,023,NN,FM,5,"Kansas City",
105,W0OAR,,-,146.37000,Tone,162.2,88.5,023,NN,FM,5,"Monett",
106,K0GGM,,-,146.37000,Tone,110.9,88.5,023,NN,FM,5,"Salem",
107,W0SRC,,-,146.37000,Tone,141.3,88.5,023,NN,FM,5,"St. Louis, Dorchester Apartment Building, Forest Park West",
108,AA0GB,,-,,Tone,141.3,88.5,023,NN,FM,5,"Bourbon",
109,KB0UFL,,-,146.38500,Tone,100.0,88.5,023,NN,FM,5,"Hayti, Pemiscot-Dunklin co-op Tower",
110,N0SYL,,-,146.38500,Tone,110.9,88.5,023,NN,FM,5,"Madison",
111,N0GK,,-,146.40000,Tone,100.0,88.5,023,NN,FM,5,"Dexter",
112,K0ETY,,-,146.40000,Tone,127.3,88.5,023,NN,FM,5,"Jefferson City",
113,WB0IYC,,+,147.60000,,88.5,88.5,023,NN,FM,5,"Joplin",
114,KB0VBN,,+,147.61500,Tone,151.4,88.5,023,NN,FM,5,"Blue Springs",
115,K0NXA,,+,147.61500,Tone,162.2,88.5,023,NN,FM,5,"Springfield",
116,K0MDG,,+,147.61500,,88.5,88.5,23,NN,DV,5,"St. Louis, Red Cross - Lindbergh",
117,K0EOR,,+,147.63000,Tone,100.0,88.5,023,NN,FM,5,"Farmington",
118,WA0SDO,,-,146.43000,Tone,179.9,88.5,023,NN,FM,5,"Sedalia",
119,N0TIX,,+,147.64500,,88.5,88.5,023,NN,FM,5,"Kearney",
120,KA0CWU,,+,147.64500,Tone,141.3,88.5,023,NN,FM,5,"Warrenton",
121,WB0LVR,,+,147.66000,DTCS,88.5,88.5,165,NN,FM,5,"Bolivar",
122,W0BYU,,+,147.66000,Tone,94.8,88.5,023,NN,FM,5,"Grant City",
123,W0MA,,+,147.66000,Tone,141.3,88.5,023,NN,FM,5,"St. Louis, I-270 and McDonnell Blvd",
124,KB0TLL,,+,147.67500,Tone,141.3,88.5,023,NN,FM,5,"Hillsboro",
125,WB6ARF,,+,147.67500,Tone,162.2,88.5,023,NN,FM,5,"Pineville",
126,KB0ZAW,,+,147.67500,Tone,100.0,88.5,023,NN,FM,5,"Sikeston",
127,KM0HP,,+,147.67500,Tone,127.3,88.5,023,NN,FM,5,"Warsaw, MSHP Tower",
128,W0TOJ,,+,147.69000,,88.5,88.5,023,NN,FM,5,"Independence, Bank of America Independence Square",
129,K0MOB,,+,147.69000,Tone,127.3,88.5,023,NN,FM,5,"Moberly",
130,KC0ROS,,+,147.69000,Tone,162.2,88.5,023,NN,FM,5,"Odin",
131,KJ6TQ,,+,147.70500,Tone,136.5,88.5,023,NN,FM,5,"Branson",
132,KE0PKD,,+,147.70500,Tone,156.7,88.5,023,NN,FM,5,"Concordia",
133,KB0TLL,,+,147.70500,Tone,141.3,88.5,023,NN,FM,5,"Imperial",
134,KB0E,,+,147.72000,Tone,107.2,88.5,023,NN,FM,5,"Fordland",
135,N0HV,,+,147.72000,Tone,151.4,88.5,023,NN,FM,5,"Raymore",
136,KB0WCY,,+,147.73500,,88.5,88.5,023,NN,FM,5,"Hermann",
137,KB0MPO,,+,147.73500,Tone,100.0,88.5,023,NN,FM,5,"Houston",
138,WB0NYD,,+,147.73500,,88.5,88.5,023,NN,FM,5,"Nevada",
139,N0DAN,,+,147.75000,Tone,100.0,88.5,023,NN,FM,5,"Dexter, Hospital",
140,K0ATT,,+,147.75000,Tone,141.3,88.5,023,NN,FM,5,"Kirkwood, Near Kirkwood Train Station",
141,WB0WMM,,+,147.76500,Tone,127.3,88.5,023,NN,FM,5,"Marshall",
142,K0DCA,,+,147.76500,Tone,162.2,88.5,023,NN,FM,5,"Norwood",
143,AC0OK,,+,147.78000,Tone,103.5,88.5,023,NN,FM,5,"Milan",
144,N0NWS,,+,147.78000,Tone,136.5,88.5,023,NN,FM,5,"Polk, KRBK-TV Tower",
145,WA0FYA,,+,147.78000,Tone,141.3,88.5,023,NN,FM,5,"Washington, Indian Prairie School House",
146,KC0M,,+,147.79500,,88.5,88.5,023,NN,FM,5,"Branson",
147,KC0LAT,,+,147.79500,,88.5,88.5,023,NN,FM,5,"Kennet",
148,N0WNC,,+,147.79500,Tone,141.3,88.5,023,NN,FM,5,"Potosi",
149,K0UG,,+,147.79500,Tone,107.2,88.5,023,NN,FM,5,"Windsor",
150,W0IN,,+,147.81000,Tone,91.5,88.5,023,NN,FM,5,"Joplin",
151,W0GS,,+,147.81000,Tone,88.5,88.5,023,NN,FM,5,"Rolla",
152,KE0MQF,,+,147.81000,Tone,100.0,88.5,023,NN,FM,5,"Sikeston",
153,KD0PVP,,+,147.82500,Tone,91.5,88.5,023,NN,FM,5,"Butler",
154,K0MPT,,+,147.82500,,88.5,88.5,023,NN,FM,5,"Chillicothe",
155,W0PM,,+,147.82500,Tone,162.2,88.5,023,NN,FM,5,"Springfield, Rayfield Communications Tower",
156,N0FLC,,+,147.82500,,88.5,88.5,023,NN,FM,5,"St. Louis",
157,K0PRO,,+,147.84000,Tone,91.5,88.5,023,NN,FM,5,"Lamar",
158,WA0FYA,,+,147.84000,Tone,141.3,88.5,023,NN,FM,5,"Washington",
159,K5QBX,,+,147.85500,Tone,162.2,88.5,023,NN,FM,5,"Jane, Walmart",
160,AA0RC,,+,147.85500,Tone,127.3,88.5,023,NN,FM,5,"Mexico, KWWR Backup Tower",
161,KD0IM,,+,147.87000,Tone,156.7,88.5,023,NN,FM,5,"Bunker",
